,id,address,categories,city,latitude,longitude,name,postalCode,province,dateAdded_f,dateUpdated_f
2201,AWqsUU-NQTFama1Xn6l9,5626 Broadview Road,"Caterers,Bakeries,Bartending Service,Delicatessens,Fast Food Restaurants,Pizza,Restaurant Delivery Service,Restaurants,Take Out Restaurants,Wedding Supplies and Services",Cleveland,41.40896,-81.69288,Gentile's Bakery - Deli - Catering,44134,OH,2019-05-12,2019-05-12
3231,AVzBEzQZ3D1zeR_xBGhg,18070 Bagley Rd,"Ice Cream Parlors,Carry-out food,Breakfast,Hot dog restaurants,Hamburger restaurants,Fast Food,Karaoke,Restaurants,Frozen Yogurt Shops,Restaurant,Burger Joint,Fast Food Restaurant,Coffeehouses,Salads,Fast food restaurants,Hamburgers,Sandwich Shops",Cleveland,41.3724,-81.8272,McDonald's,44130,OH,2017-06-19,2019-05-03
3451,AWpjpQ50sVYjT2BJ8B3L,1288 Som Center Road,"American Restaurants,Breakfast Brunch and Lunch Restaurants,,Family Style Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Sandwich Shops,Take Out Restaurants",Cleveland,41.52517,-81.43888,Big Boy's Burgers and Shakes,44124,OH,2019-04-28,2019-04-28
3698,AVz1W62hLD2H7whiX_Ns,1237 S.O.M. Center Rd.,"Burger Joint,Fast Food Restaurant,American Restaurant,Restaurants",Cleveland,41.52663,-81.437629,Five Guys,44124,OH,2017-06-29,2019-04-23
3763,AV1goIHdIxWefVJwf1UM,6557 Broadway Ave,"Carry-out food,Caterers,Restaurant delivery service,Chicken Wings,Food Delivery,American restaurants,Karaoke,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants,Pizza,Restaurant,Pizza Place,Catering",Cleveland,41.46221,-81.64337,Pizza Hut,44105,OH,2017-07-20,2019-04-22
3774,AVzBEtWP-gnIPe8DSjM6,22855 Emery Rd,"Carry-out food,Restaurant,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Cleveland,41.435691,-81.51809,KFC,44128,OH,2017-06-19,2019-04-22
3910,AVzTg-4E-gnIPe8DS7y9,6677 Pearl Rd,"Carry-out food,American Restaurant,American restaurants,Fast Food Restaurants,Fast Food,Karaoke,Restaurants,Delis And Delicatessens,Restaurant,Fast Food Restaurant,Traditional American,wich Place,Sandwich Place,Sandwich Shops",Cleveland,41.380759,-81.782945,Arbys,44130,OH,2017-06-23,2019-04-20
4522,AVwc3KaSIN2L1WUfptEG,5092 Tiedeman Rd,"Asian Restaurants,American Restaurants,Chinese Restaurant,Japanese Restaurants,Chinese Restaurants,Sushi Restaurant,Chinese Restaurant and Sushi Restaurant,Take Out Restaurants,Fast Food Restaurants,Sushi Bars,Bistros,Restaurants",Cleveland,41.423078,-81.761787,Wild Ginger China Bistro,44144,OH,2015-10-24,2019-04-15
4575,AVwch3px_7pvs4fzwF9U,7456 Broadview Rd,"Grocery Stores,Pizza,Restaurant,Chicken Wings,Florists,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Family Style Restaurants,Catering,Restaurants",Cleveland,41.363122,-81.685393,Pizza Hut,44134,OH,2016-02-17,2019-04-15
5036,AVwdBVO-IN2L1WUfrYZg,3362 Warren Rd,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",Cleveland,41.462409,-81.802945,Subway,44111,OH,2016-03-31,2019-04-10
